 Способ размещения заказа; Наименование заказа; Начальная (максимальная) цена контракта (лота); Организация, размещающая заказ; Этап размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
 Запрос котировок; Поставка молока и молочной продукции; 58 680,40;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад № 169 ""Светлячок"" общеразвивающего вида с приоритетным осуществлением деятельности по социально-личностному развитию детей"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; 13-115-52 Техническое обслуживание лифтов; 220 000,00;" Федеральное государственное бюджетное учреждение культуры ""Всероссийская государственная библиотека иностранной литературы имени М.И.Рудомино"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Поставка молока и молочной продукции для МБОУ- Хотынецкая средняя общеобразовательная школа Хотынецкого района Орловской области на февраль, март 2013 года.; 124 740,83; муниципальное бюджетное общеобразовательное учреждение - Хотынецкая средняя общеобразовательная школа Хотынецкого района Орловской области; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Поставка молочной продукции ; 154 266,60;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад общеразвивающего вида № 117"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; оказание охранных услуг; 108 164,16;" государственное бюджетное учреждение Новосибирской области ""Областной Центр помощи детям, оставшимся без попечения родителей"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Уголь рядовой марки ДР -52 тонны                              ; 177 000,00;" муниципальное казенное общеобразовательное учреждение ""Васильевская средняя общеобразовательная школа"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по эксплуатации и комплексному техническому обслуживанию инженерных сетей и систем административного здания следственного управления Следственного комитета Российской Федерации по Калужской области; 750 000,00; следственное управление Следственного комитета Российской Федерации по Калужской области; Подача заявок; 19.01.2013; 28.01.2013
 Запрос котировок;   Охрана помещения Отдела Пенсионного фонда Российской Федерации (государственное учреждение) в г. Игарка Красноярского края, с применением технических средств (охранно-пожарной сигнализации); 461 067,14; Отдел Пенсионного фонда Российской Федерации (государственное учреждение) в г. Игарка Красноярского края; Подача заявок; 21.01.2013; 04.02.2013
 Запрос котировок; Поставка молока и молочной продукции; 82 777,90;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад № 166 ""Цветик-семицветик"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Поставка молочных продуктов ; 2 999 683,00;" Государственное бюджетное учреждение Республики Дагестан ""Кизлярская центральная городская больница"""; Подача заявок; 19.01.2013; 27.01.2013
 Открытый конкурс; Оказание услуг по участию в экспертизе проектов отчетов об исполнении бюджетов внутригородских муниципальных образований в городе Москве за 2012 год в части годовой бюджетной отчетности; 3 924 000,00; Контрольно-счетная палата Москвы; Подача заявок; 19.01.2013; 18.02.2013
 Запрос котировок; Прочистка и промывка наружных канализационных сетей ФГБОУ ВПО «Уральский государственный педагогический университет».; 150 000,00;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Уральский государственный педагогический университет"""; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; Услуги технического средства по доставке песка; 33 000,00;" Городская Управа муниципального образования городского поселения ""Город Белоусово"""; Подача заявок; 11.01.2013; 17.01.2013
 Запрос котировок; Выполнение работ по замене участка канализации от д/с Колокольчик по ул. Советская; 387 935,36; Администрация муниципального образования Белохолуницкое городское поселение Белохолуницкого района Кировской области; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Услуги транспортного средства по ремонту уличного освещения, опиловке деревьев; 180 000,00;" Городская Управа муниципального образования городского поселения ""Город Белоусово"""; Подача заявок; 11.01.2013; 17.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по организации оздоровительного отдыха детей в 2013 году, согласно характеристики.; 564 000,00; Управление Республики Северная Осетия-Алания по размещению заказов для государственных нужд; Подача заявок; 19.01.2013; 30.01.2013
 Запрос котировок; Услуги технического средства ; 42 000,00;" Городская Управа муниципального образования городского поселения ""Город Белоусово"""; Подача заявок; 11.01.2013; 17.01.2013
 Запрос котировок; Поставка молока и молочной продукции; 60 060,40;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад №132 ""Золотая рыбка"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; открытый аукцион в электронной форме на право заключения государственного контракта на поставку лекарственных препаратов (гипогликемическое средство - инсулина длительного аналог) для обеспечения отдельных категорий граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг, в 2013 году ; 2 997 181,44; Государственная служба Чувашской Республики по конкурентной политике и тарифам; Подача заявок; 19.01.2013; 28.01.2013
 Запрос котировок; Поставка молочной продукции ; 217 700,30;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников № 6"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Поставка молока и молочной продукции; 62 993,60;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад № 11 ""Ручеек"" общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; Поставка молока и молочной продукции; 60 154,35;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад № 147 ""Улыбка"" комбинированного вида"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; Размещение заказа на поставку геля для ЭКГ.; 6 539,20;" государственное бюджетное учреждение Ростовской области ""Онкологический диспансер"" в г. Таганроге"; Подача заявок; 19.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения государственного контракта на поставку лекарственных препаратов в рамках Постановления Правительства РФ от 30.07.1994 года № 890 «О государственной поддержке развития медицинской промышленности и улучшения обеспечения населения и учреждений здравоохранения лекарственными средствами и изделиями медицинского назначения» (лекарственные препараты для лечения заболеваний дыхательных путей) в 2013 году; 83 952,50; Государственная служба Чувашской Республики по конкурентной политике и тарифам; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме;" выполнение работ по ремонту автомобильной дороги М-53 ""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы. Проезд по п. Итат км 0+000 - км 11+624, Кемеровская область  "; 41 957 071,00;" Федеральное казенное учреждение ""Федеральное управление автомобильных дорог ""Сибирь"" Федерального дорожного агентства"""; Подача заявок; 19.01.2013; 18.02.2013
 Открытый аукцион в электронной форме; Поставка антикоагулянтов; 969 756,00;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Выполнение проектно-изыскательских работ по объекту «Административное здание в г. Сухиничи (строительство)»; 1 353 900,00; следственное управление Следственного комитета Российской Федерации по Калужской области; Подача заявок; 19.01.2013; 28.01.2013
 Запрос котировок; Размещение заказа на поставку термобумаги.; 39 207,00;" государственное бюджетное учреждение Ростовской области ""Онкологический диспансер"" в г. Таганроге"; Подача заявок; 19.01.2013; 25.01.2013
 Запрос котировок; на право поставки молока и молочной продукции; 399 952,83;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 20 ""Сказка"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Капитальный ремонт окон первого этажа административного здания УФСБ России по Республике Марий Эл; 640 920,00; Управление Федеральной службы безопасности Российской Федерации по Республике Марий Эл; Подача заявок; 16.01.2013; 24.01.2013
 Запрос котировок; на  право поставки молоко и молочной продукции ; 314 540,00;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 7 ""Ёлочка"""; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; на право оказание услуг по комплексному обслуживанию здания; 200 000,00;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 7 ""Ёлочка"""; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок;  на  право поставки молоко и молочной продукции  ; 185 460,00;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 7 ""Ёлочка"""; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; на право поставки прочих продуктов питания; 294 221,00;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 7 ""Ёлочка"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка антикоагулянтов; 992 691,00;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 30.01.2013
 Запрос котировок; Оказание медицинских услуг; 500 000,00;" федеральное государственное казенное учреждение ""2 отряд федеральной противопожарной службы по Ямало-Ненецкому автономному округу"""; Подача заявок; 10.01.2013; 18.01.2013
 Открытый аукцион в электронной форме; Выполнение проектно-изыскательских работ по объекту «Административное здание в г. Малоярославец (строительство)» ; 1 218 500,00; следственное управление Следственного комитета Российской Федерации по Калужской области; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Поставка статинов; 855 066,00;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 30.01.2013
 Запрос котировок; Лекарственные средства –  Средства, действующие на вегетативную нервную систему и чувствительные нервные окончания ; 32 984,52; государственное бюджетное учреждение здравоохранения Республики Башкортостан Городская больница № 3 города Стерлитамак; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; Оказание услуг по административно-хозяйственному обеспечению потребностей заказчика ; 407 500,00; представительство Правительства Саратовской области при Правительстве Российской Федерации; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения государственного контракта на поставку лекарственных препаратов в рамках Постановления Правительства РФ от 30.07.1994 года № 890 «О государственной поддержке развития медицинской промышленности и улучшения обеспечения населения и учреждений здравоохранения лекарственными средствами и изделиями медицинского назначения» (гипогликемическое средство - инсулина длительного аналог) в 2013 году; 2 999 606,55; Государственная служба Чувашской Республики по конкурентной политике и тарифам; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Содержание внутрипоселковых  муниципальных автомобильных дорог Чертковского сельского поселения Чертковского района Ростовской области на 2013 год; 755 100,00;" Администрация муниципального образования ""Чертковское сельское поселение"""; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Выполнение проектно-изыскательских работ по объекту «Административное здание в г. Боровске (строительство)» ; 1 083 100,00; следственное управление Следственного комитета Российской Федерации по Калужской области; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Поставка антикоагулянтов; 997 823,16;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 30.01.2013
 Запрос котировок; Формовочная обрезка деревьев по улицам города Учалы; 470 758,64; Администрация городского поселения город Учалы муниципального района Учалинский район Республики Башкортостан; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Поставка молока и молочной продукции; 40 603,50;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад № 30 ""Лесная полянка"" города Чебоксары Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; поставка  горюче-смазочных материалов; 247 845,00;" федеральное казенное учреждение ""Исправительная колония № 9 Главного управления Федеральной службы исполнения наказаний по Новосибирской области"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка средств применяемых в кардиологии; 994 826,70;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Оказание услуг на поставку в 2013 году продуктов питания и организацию ежедневного четырехразового лечебного питания (включая трехразовое горячее питание) для нужд клинического отделения Федерального государственного учреждения науки Уральского научно-практического центра радиационной медицины; 2 640 000,00; Федеральное государственное учреждение науки Уральский научно-практический центр радиационной медицины Федерального медико-биологического агентства; Подача заявок; 19.01.2013; 26.01.2013
 Запрос котировок; поставка ГСМ для нужд ОМОН МВД по Республике Башкортостан (место дислокации город Уфа); 488 720,00; Министерство внутренних дел по Республике Башкортостан; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Право заключения Гражданско-правового договора на оказание услуг по поверке средств измерений в 2013 году.; 381 494,00;" Федеральное бюджетное учреждение ""Государственный региональный центр стандартизации, метрологии и испытаний в Иркутской области"""; Подача заявок; 19.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Поставка средств применяемых в офтальмологии; 218 326,40;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка средств применяемых в кардиологии; 993 697,20;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 29.01.2013
 Запрос котировок; Поставка молочной продукции ; 281 062,25;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребёнка - детский сад № 22"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Выполнение проектных работ по объекту: «Комплекс бытовых услуг (баня на 10 мест) прачечная (20 кг белья в смену), КБО в с. Находка Тазовского района»; 2 873 270,00; Администрация Тазовского района; Подача заявок; 17.01.2013; 24.01.2013
 Запрос котировок; Поставка   фруктов и продуктов их переработки для организации горячего питания дошкольной группы при МБОУ СОШ с. Ильинское Сахалинской области.; 68 130,00;" Отдел образования муниципального образования ""Томаринский городской округ"" Сахалинской области"; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка средств применяемых в неврологии; 984 948,00;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; поставка и монтаж фельдшерского пункта в модульном исполнении; 12 595 886,76; Администрация Тазовского района; Подача заявок; 19.01.2013; 04.02.2013
 Запрос котировок; Выбор поставщика бензина АИ-92 для нужд Межрайонной ИФНС России № 6 по Удмуртской Республике; 87 160,50; Межрайонная инспекция Федеральной налоговой службы № 6 по Удмуртской Республике; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме;" Авиаперевозки государственных гражданских служащих, обучающихся по ГП РС(Я) ""Развитие кадрового потенциала РС(Я) на 2012-2016 годы"""; 700 916,00; Министерство профессионального образования, подготовки и расстановки кадров Республики Саха (Якутия); Подача заявок; 19.01.2013; 28.01.2013
 Запрос котировок; проведение санитарно-бактериологических исследований; 151 423,75;" бюджетное учреждение Чувашской Республики ""Канашская центральная районная больница им. Ф. Г. Григорьева"" Министерства здравоохранения и социального развития Чувашской Республики"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; капитальный ремонт помещений реанимационного отделения бюджетного учреждения Чувашской Республики «Канашская центральная районная больница им. Ф.Г. Григорьева» Министерства здравоохранения и социального развития Чувашской Республики; 287 923,09;" бюджетное учреждение Чувашской Республики ""Канашская центральная районная больница им. Ф. Г. Григорьева"" Министерства здравоохранения и социального развития Чувашской Республики"; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; оказание услуг по приобретению горюче-смазочных материалов посредством топливных карт; 322 145,00; Отдел Министерства внутренних дел Российской Федерации по городу Когалыму; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Поставка молочной продукции ; 267 885,84;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад комбинированного вида № 69"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Поставка изделий медицинских из латекса (перчаток) стерильных; 359 400,00;" Государственное бюджетное учреждение здравоохранения Сахалинской области ""Южно-Сахалинская городская больница им. Ф.С.Анкудинова"""; Подача заявок; 19.01.2013; 29.01.2013
 Запрос котировок; Поставка ГСМ в 1 квартале 2013 года; 497 820,00;" Муниципальное учреждение здравоохранения ""Новосергиевская центральная районная больница"""; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; выполнение работ по уборке и вывозу мусора и снега с территории кладбищ городского округа город Салават Республики Башкортостан; 499 779,41; Администрация городского округа город Салават Республики Башкортостан; Подача заявок; 10.01.2013; 18.01.2013
 Открытый аукцион в электронной форме; на право заключения государственного контракта на приобретение и поставку автобуса для федеральных государственных нужд; 2 000 000,00; Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Камчатскому краю; Подача заявок; 19.01.2013; 27.01.2013
 Запрос котировок; выполнение работ по содержанию мест захоронения на территории муниципальных кладбищ городского округа город Салават Республики Башкортостан; 466 049,81; Администрация городского округа город Салават Республики Башкортостан; Подача заявок; 10.01.2013; 18.01.2013
 Запрос котировок; Поставка мяса (включая птицу) и пищевые субпродукты для  организации горячего питания дошкольной группы при МБОУ СОШ с. Ильинское Сахалинской области.; 42 300,00;" Отдел образования муниципального образования ""Томаринский городской округ"" Сахалинской области"; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Поставка молочной продукции ; 316 142,36;" муниципальное бюджетное дошкольное образовательное учреждение ""Центр развития ребенка - детский сад № 82"""; Подача заявок; 21.01.2013; 30.01.2013
 Запрос котировок; выполнение работ по установке металлопластиковых оконных блоков; 350 000,00; Муниципальное общеобразовательное бюджетное учреждение средняя общеобразовательная школа № 17; Подача заявок; 21.01.2013; 30.01.2013
 Запрос котировок; Поставка молочной продукции ; 289 472,90;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад общеразвивающего вида с приоритетным осуществлением интеллектуального направления развития воспитанников № 75"""; Подача заявок; 21.01.2013; 30.01.2013
 Запрос котировок; Поставка  прочих продуктов питания для  организации горячего питания дошкольной группы при МБОУ СОШ с. Ильинское Сахалинской области.; 27 370,00;" Отдел образования муниципального образования ""Томаринский городской округ"" Сахалинской области"; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме;" ""Реконструкция с пристроем здания прокуратуры Республики Бурятия"""; 155 182 500,00; Прокуратура Республики Бурятия; Подача заявок; 19.01.2013; 07.02.2013
 Запрос котировок; Поставка молочной продукции ; 303 007,38;" муниципальное бюджетное дошкольное образовательное учреждение ""Детский сад общеразвивающего вида с приоритетным осуществлением физического развития и оздоровления детей № 66"""; Подача заявок; 21.01.2013; 30.01.2013
