Реестровый номер заказа; Способ размещения заказа; Наименование заказа; Номер лота; Наименование лота; Начальная (максимальная) цена контракта (лота); Код валюты; Классификация по ОКДП; Организация, размещающая заказ; Дата публикации; Дата последнего события; Этап размещения заказа; Особенности размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №9; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 5 (пятом) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в шоу-бизнесе» профиль «Менеджмент организаций»; 729 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0173100010413000004'; Открытый конкурс; Актуализация базы данных по объектам геологического изучения недр и базовым проектам на выполнение научно-исследовательских работ; ; ; 45 000 000,00; RUB; 7241000: Автоматизированные информационные системы на основе компьютерных баз данных (документальные, документографические, реферативные, полнотекстовые, документально - фактографические, объектографические, базы данных показателей, лексикографические, гипертекстов; Федеральное агентство по недропользованию; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0372200054313000010'; Открытый конкурс; Выполнение инженерных изысканий, разработка и согласование в установленном порядке проектно-сметной документации на строительство объекта:"Проектирование в производственной зоне "Ржевка". Сети водоснабжения, водоотведения, газоснабжения вдоль границ квартала 25А и границ южной части квартала 24"; ; ; 14 242 537,29; RUB; 7421014: Комплексные услуги по проектировочным работам и административные услуги по контрактам в области архитектуры; Санкт-Петербургское государственное казенное учреждение "Городское агентство по промышленным инвестициям"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 10.04.2013
'0519100000113000013'; Открытый конкурс; Открытый конкурс на право заключения договора на выполнение строительно-монтажных работ по проекту «Создание опытно-демонстрационного центра (пусковой комплекс) по переработке отработавшего ядерного топлива на основе инновационных технологий, включая проектно-изыскательские работы, федерального государственного унитарного предприятия «Горно-химический комбинат» (г. Железногорск, Красноярский край); ; ; 4 965 063 610,68; RUB; 4560521: Строительно - монтажные работы; Федеральное государственное унитарное предприятие "Горно-химический комбинат"; 15.02.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 25.03.2013
'0372100045713000017'; Открытый конкурс; Выполнение ОКР/ОТР: «Разработка основ технологии создания интегрированных гетероструктур и интегрированных светодиодных кристаллов для светодиодных систем нового поколения»; ; ; 24 000 000,00; RUB; 7310042: Услуги по исследованиям и разработкам в области физических наук; Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100008413000050'; Открытый конкурс; Оказание услуг по  организации  и  проведению аттестации (сертификации) инспекторов защитных покрытий; ; ; 5 040 000,00; RUB; 8040020: Услуги курсов по повышению квалификации; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Российский государственный университет нефти и газа имени И. М. Губкина"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0803100000413000006'; Открытый конкурс; Оказание услуг обязательного страхования гражданской ответственности владельца транспортных средств (ОСАГО) для государственных нужд ФКУ «ЦХ и СО МВД по РД»; ; ; 1 517 151,51; RUB; 6613070: Услуги по страхованию гражданской ответственности; федеральное казенное учреждение "Центр хозяйственного и сервисного обеспечения МВД по Республике Дагестан"; 15.02.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 27.03.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №1; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с  валеологической направленностью в  г. Подпорожье Ленинградской области. ; 247 136,40; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №2; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с  экологической направленностью в г. Подпорожье Ленинградской области. ; 247 136,40; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №3; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с  профильной сменой «Краеведение в п.Важины Подпорожского района ; 230 660,64; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №4; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием, в п.Вознесенье Подпорожского района ; 137 298,00; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №5; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной сменой «Краеведение» в г.Подпорожье Ленинградской области ; 247 136,40; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №6; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с творческой направленностью в п.Никольский Подпорожского района ; 192 217,20; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №7; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной эколого-краеведческой сменой в д.Винницы Подпорожского района ; 219 676,80; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
