Дата публикации;Номер извещения;Заказчик;Предмет контракта;Начальная цена;URL извещения;Способ размещения заказа;Дата начала приёма заявок;Дата окончания приёма заявок;Дата проведения аукциона;Адрес заказчика;Телефон заказчика;Электронная почта заказчика;Контактное лицо заказчика;ИНН заказчика;КПП заказчика;ОГРН заказчика;Организатор торгов
01.03.2013;5567536;Министерство финансов Республики Адыгея;№ 197 - А для субъектов малого предпринимательства на поставку овощей для ГБУЗРА Адыгейской республиканской клинической больницы;471 686,24р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5567536;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-570301;vshapkina@minfin-maykop.ru;Шапкина Валерия Сергеевна;;;;Министерство финансов Республики Адыгея
01.03.2013;5576786;Министерство финансов Республики Адыгея;"№198 - А на поставку  нефтепродуктов для 
ГБУЗ РА «Объединенное автохозяйство санитарного транспорта Министерства здравоохранения Республики Адыгея»";2 799 710,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576786;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
01.03.2013;5577074;"филиал федерального государственного бюджетного учреждения ""Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии"" по Республике Адыгея";"Открытый аукцион в электронной форме 
на право заключения договора поставки устройства сшива документов
 для филиала федерального государственного бюджетного учреждения
 «Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии» по Республике Адыгея";18 383,33р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5577074;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;"Российская Федерация, 385021, Адыгея Респ, Майкоп г, Юннатов, 9, ""Д""";7-8772-568805;fgu01@u01.rosreestr.ru;Чич Зурета Махмудовна;;;;"филиал федерального государственного бюджетного учреждения ""Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии"" по Республике Адыгея"
01.03.2013;5577211;"филиал федерального государственного бюджетного учреждения ""Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии"" по Республике Адыгея";"Открытый аукцион в электронной форме 
на право заключения договора поставки металлических шкафов для хранения документов
 для филиала федерального государственного бюджетного учреждения
 «Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии» по Республике Адыгея";16 182,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5577211;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;"Российская Федерация, 385021, Адыгея Респ, Майкоп г, Юннатов, 9, ""Д""";7-8772-568805;fgu01@u01.rosreestr.ru;Чич Зурета Махмудовна;;;;"филиал федерального государственного бюджетного учреждения ""Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии"" по Республике Адыгея"
01.03.2013;5577960;Управление Федеральной службы судебных приставов по Республике Адыгея;Поставка картриджей для копировальной и множительной техники;299 189,32р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5577960;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Жуковского, 51, -;7-8772-528406;adygeya@fssprus.ru;Евменьева Елена Юрьевна;;;;Управление Федеральной службы судебных приставов по Республике Адыгея
01.03.2013;5577969;Министерство финансов Республики Адыгея;№199 - А Услуги по уборке зданий и дворовой территории;176 770,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5577969;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
01.03.2013;5570400;"Администрация муниципального образования ""Красногвардейский район""";Поставка бензина автомобильного марки АИ-92 (или эквивалент) и бензина автомобильного марки АИ-95 (или эквивалент) для нужд администрации МО «Красногвардейский район»;235 405,50р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570400;Запрос котировок;11.03.2013;11.03.2013;;Российская Федерация, 385300, Адыгея Респ, Красногвардейский р-н, Красногвардейское с, ул.Чапаева, 93, -;7-87778-51395;redeconom@mail.ru;Девятилова Татьяна Алексеевна;;;;"Администрация муниципального образования ""Красногвардейский район"""
01.03.2013;5572244;Управление Федеральной службы государственной регистрации, кадастра и картографии по Республике Адыгея;Бензин неэтилированный Регуляр ЕВРО-92 (ГОСТ Р 51866-2оо2) или эквивалент;338 769,60р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572244;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 44, -;7-8772-526500;01-rosreestrtorgi@mail.ru;Куйсоков Аслан Русланович;;;;Управление Федеральной службы государственной регистрации, кадастра и картографии по Республике Адыгея
01.03.2013;5573735;Государственное учреждение - региональное отделение Фонда социального страхования Российской Федерации по Республике Адыгея;"на  оказание услуг по медицинской реабилитации застрахованных лиц, пострадавших вследствие несчастных случаев на производстве и профессиональных заболеваний, с

заболеваниями по классу  «Травмы, отравления и некоторые другие последствия воздействия внешних причин» (спинальные больные) в организации, оказывающей санаторно-курортные услуги";155 957,76р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5573735;Запрос котировок;11.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Жуковского, 49, -;7-8772-527021;torgi@ro1.fss.ru;Темзокова Бэлла Борисовна;;;;Государственное учреждение - региональное отделение Фонда социального страхования Российской Федерации по Республике Адыгея
01.03.2013;5575485;"Администрация муниципального образования ""Город Майкоп""";Поставка мебели для МБДОУ «Детский сад общеразвивающего вида № 2о».;281 938,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5575485;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Гусакова Елена Александровна;;;;"Администрация муниципального образования ""Город Майкоп"""
01.03.2013;5576018;"Администрация муниципального образования ""Красногвардейский район""";"Замена деревянных оконных блоков на металлопластиковые 
в МБДОУ ""Детский сад № 2 ""Сказка"" с.Большесидоровское";189 973,69р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576018;Запрос котировок;11.03.2013;11.03.2013;;Российская Федерация, 385300, Адыгея Респ, Красногвардейский р-н, Красногвардейское с, ул.Чапаева, 93, -;7-87778-51395;redeconom@mail.ru;Алифиренко Дмитрий Викторович;;;;"Администрация муниципального образования ""Красногвардейский район"""
01.03.2013;5576209;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея""";Бензин автомобильный. Центр.;136 415,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576209;Запрос котировок;14.03.2013;14.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Гагарина, 40, -;7-8772-560408;pravo_fguz@radnet.ru;Завгородний Сергей Александрович;;;;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея"""
01.03.2013;5576394;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея""";Бензин автомобильный. Майкопский район.;75 720,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576394;Запрос котировок;14.03.2013;14.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Гагарина, 40, -;7-8772-560408;pravo_fguz@radnet.ru;Завгородний Сергей Александрович;;;;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея"""
01.03.2013;5576769;"Администрация муниципального образования ""Майкопский район""";Выполнение и разработка проектно-сметной документации по объекту: «Газопровод высокого давления с установкой ШРП в хуторе Шунтук и пос. Подгорный Майкопского района Республики Адыгея».;490 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576769;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 385730, Адыгея Респ, Майкопский р-н, Тульский пгт, Советская, 42, -;7-87777-52514;mr01_mz@mail.ru;Деревянко Ольга Александровна;;;;"Администрация муниципального образования ""Майкопский район"""
01.03.2013;5576912;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея""";Бензин автомобильный. Теучежский район.;94 650,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5576912;Запрос котировок;14.03.2013;14.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Гагарина, 40, -;7-8772-560408;pravo_fguz@radnet.ru;Завгородний Сергей Александрович;;;;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея"""
01.03.2013;5577101;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея""";Бензин автомобильный. Шовгеновский район.;53 635,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5577101;Запрос котировок;14.03.2013;14.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Гагарина, 40, -;7-8772-560408;pravo_fguz@radnet.ru;Завгородний Сергей Александрович;;;;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Республике Адыгея"""
01.03.2013;5578311;Управление Федерального казначейства по Республике Адыгея (Адыгея);Текущий ремонт административных зданий Управления Федерального казначейства по Республике Адыгея (Адыгея);472 877,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5578311;Запрос котировок;14.03.2013;14.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Гоголя, 18, -;7-8772-524800;ufk7600_zakupki@nxt.ru;Криушин Сергей Юрьевич;;;;Управление Федерального казначейства по Республике Адыгея (Адыгея)
04.03.2013;5578347;Министерство финансов Республики Адыгея;№ 2оо - А поставка овощей для Государственного бюджетного учреждения здравоохранения Республики Адыгея «Адыгейская республиканская клиниче-ская инфекционная больница»;158 304,50р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5578347;Открытый аукцион в электронной форме;15.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-570301;vshapkina@minfin-maykop.ru;Шапкина Валерия Сергеевна;;;;Министерство финансов Республики Адыгея
04.03.2013;5578351;Министерство финансов Республики Адыгея;№ 2о1 - А поставка мяса и мясопродуктов для Государственного бюджетного учреждения здравоохранения Республики Адыгея «Адыгейская республиканская клиническая инфекционная больница»;328 300,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5578351;Открытый аукцион в электронной форме;15.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-570301;vshapkina@minfin-maykop.ru;Шапкина Валерия Сергеевна;;;;Министерство финансов Республики Адыгея
04.03.2013;5578383;Министерство финансов Республики Адыгея;№2о3 - А Поставка рыбы для нужд ГБУЗРА АРКБ;173 594,40р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5578383;Открытый аукцион в электронной форме;15.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Басирбиев Тимур Меджидович;;;;Министерство финансов Республики Адыгея
04.03.2013;5578529;Министерство финансов Республики Адыгея;№2о2 - А Поставка хлеба для нужд ГБУЗРА АРКБ;402 500,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5578529;Открытый аукцион в электронной форме;15.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Басирбиев Тимур Меджидович;;;;Министерство финансов Республики Адыгея
04.03.2013;5588329;"Администрация муниципального образования ""Город Майкоп""";Выполнение работ по текущему ремонту асфальтобетонного покрытия въезда  МБДОУ «Детский сад общеразвивающего вида № 2о».;350 670,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5588329;Открытый аукцион в электронной форме;14.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Гусакова Елена Александровна;;;;"Администрация муниципального образования ""Город Майкоп"""
04.03.2013;5585212;"Администрация муниципального образования ""Город Майкоп""";"Выполнение работ по текущему ремонту наружных  сетей водопровода  МБДОУ ""Детский сад общеразвивающего вида № 2о"".";148 701,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5585212;Запрос котировок;11.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Гусакова Елена Александровна;;;;"Администрация муниципального образования ""Город Майкоп"""
04.03.2013;5585963;Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Республике Адыгея;Поставка бензина по топливным картам (в соответствии с Техническими требованиями (Приложение 2 к Извещению);101 024,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5585963;Запрос котировок;12.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Победы, 42, -;7-8772-537851;0901@001.pfr.ru;Шехмирзова Саида Султановна;;;;Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Республике Адыгея
04.03.2013;5587218;Министерство финансов Республики Адыгея;№ 26 - ЗК на поставку газа сжиженного углеводородного топливного для нужд ГБУЗ РА «Объединенное автохозяйство санитарного транспорта Министерства здравоохранения Республики Адыгея» во 2 квартале 2о13 года;90 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5587218;Запрос котировок;12.03.2013;12.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
04.03.2013;5588899;Министерство финансов Республики Адыгея;№ 27 - ЗК на поставку мыла  и  моющих  средств,  чистящих  и  полирующих  препаратов, парфюмерной продукции и косметических средств для нужд ГКУ РА «Служба эксплуатации административных зданий и автотранспорта»;350 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5588899;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
05.03.2013;5587222;Министерство финансов Республики Адыгея;№2о4 - А Поставку нефтепродуктов для ГБУЗРА Адыгейская республиканская клиническая больница;272 610,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5587222;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
05.03.2013;5587621;Министерство финансов Республики Адыгея;№2о5 - А Поставка дезинфицирующих средств;569 809,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5587621;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
05.03.2013;5598020;Министерство финансов Республики Адыгея;№ 2о6 - А на право заключения договора на закупку нефтепродуктов;956 068,18р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598020;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Шекультирова Марина Мусовна;;;;Министерство финансов Республики Адыгея
05.03.2013;5598425;Министерство финансов Республики Адыгея;№ 2о7 - А Поставка нефтепродуктов для ГКУЗ РА «Адыгейский республиканский клинический противотуберкулезный диспансер» во 2 квартале 2о13 года;214 750,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598425;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Шекультирова Марина Мусовна;;;;Министерство финансов Республики Адыгея
05.03.2013;5598432;Министерство финансов Республики Адыгея;№ 2о8 - А на поставку нефтепродуктов  во 2 квартале 2о13 года;172 500,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598432;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Шекультирова Марина Мусовна;;;;Министерство финансов Республики Адыгея
05.03.2013;5598691;Министерство финансов Республики Адыгея;№ 2о9 - А на поставку нефтепродуктов для нужд Государственного казенного учреждения  «Управление автомобильных дорог Республики Адыгея «Адыгеяавтодор» в II квартале 2о13 года;280 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598691;Открытый аукцион в электронной форме;15.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Шекультирова Марина Мусовна;;;;Министерство финансов Республики Адыгея
05.03.2013;5584186;"Администрация муниципального образования ""Майкопский район""";Изготовление рабочего проекта на реконструкцию здания детского сада №33 «Золотая рыбка» хутор Северо-Восточные Сады Майкопского района.;483 600,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5584186;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385730, Адыгея Респ, Майкопский р-н, Тульский пгт, Советская, 42, -;7-87777-52514;mr01_mz@mail.ru;Деревянко Ольга Александровна;;;;"Администрация муниципального образования ""Майкопский район"""
05.03.2013;5597027;"федеральное казенное учреждение ""Исправительная колония № 1 Управления Федеральной службы исполнения наказаний по Республике Адыгея (Адыгея)""";Приобретение табачных изделий;499 750,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5597027;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385228, Адыгея Респ, Теучежский р-н, Тлюстенхабль пгт, Ленина, 28, 0;7-87772-96422;ik1narod@mail.ru;Апсалямов Адам Раджебович;;;;"федеральное казенное учреждение ""Исправительная колония № 1 Управления Федеральной службы исполнения наказаний по Республике Адыгея (Адыгея)"""
05.03.2013;5597188;"Администрация муниципального образования ""Город Майкоп""";Поставка моторного бензина;449 400,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5597188;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Гусакова Елена Александровна;;;;"Администрация муниципального образования ""Город Майкоп"""
05.03.2013;5597516;Министерство финансов Республики Адыгея;№21 - ЗК Поставка нефтепродуктов для нужд Министерства сельского хозяйства Республики Адыгея во 2 квартале 2о13 года;169 182,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5597516;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
05.03.2013;5597829;"Администрация муниципального образования ""Город Майкоп""";Оказание услуг по круглосуточной государственной охране административного здания;474 561,36р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5597829;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Гусакова Елена Александровна;;;;"Администрация муниципального образования ""Город Майкоп"""
05.03.2013;5598415;Министерство финансов Республики Адыгея;№ 28 - ЗК на оказание оценочных услуг с целью определения рыночной величины годовой арендной платы за 1 квадратный метр объекта недвижимости – помещений, принадлежащих Республике Адыгея;169 500,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598415;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Хуако Светлана Аслановна;;;;Министерство финансов Республики Адыгея
05.03.2013;5598777;"Администрация муниципального образования ""Город Майкоп""";"Выполнение работ по строительству уличной веранды  

МКСКОУ (VII – VIII вида) ""Детский сад № 18"".";412 038,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5598777;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Краснооктябрьская, 21, -;7-8772-571572;mzakaz@admins.maykop.ru;Листопадова Кристина Станиславовна;;;;"Администрация муниципального образования ""Город Майкоп"""
